Zip.Code,Median Household Income
ZCTA5 06390,152652
ZCTA5 07421,94375
ZCTA5 10001,85168
ZCTA5 10002,35594
ZCTA5 10003,100791
ZCTA5 10004,123056
ZCTA5 10005,130116
ZCTA5 10006,125364
ZCTA5 10007,234958
ZCTA5 10009,60788
ZCTA5 10010,110142
ZCTA5 10011,114134
ZCTA5 10012,101815
ZCTA5 10013,104167
ZCTA5 10014,119026
ZCTA5 10016,102703
ZCTA5 10017,106795
ZCTA5 10018,105479
ZCTA5 10019,94477
ZCTA5 10020,
ZCTA5 10021,115681
ZCTA5 10022,123693
ZCTA5 10023,115080
ZCTA5 10024,118594
ZCTA5 10025,80025
ZCTA5 10026,52082
ZCTA5 10027,42754
ZCTA5 10028,111302
ZCTA5 10029,32500
ZCTA5 10030,33720
ZCTA5 10031,41848
ZCTA5 10032,40054
ZCTA5 10033,46349
ZCTA5 10034,45643
ZCTA5 10035,26893
ZCTA5 10036,83812
ZCTA5 10037,39463
ZCTA5 10038,82910
ZCTA5 10039,32257
ZCTA5 10040,45811
ZCTA5 10044,86483
ZCTA5 10065,118310
ZCTA5 10069,155702
ZCTA5 10075,114481
ZCTA5 10103,
ZCTA5 10110,
ZCTA5 10111,
ZCTA5 10112,
ZCTA5 10115,
ZCTA5 10119,
ZCTA5 10128,103817
ZCTA5 10152,
ZCTA5 10153,
ZCTA5 10154,
ZCTA5 10162,178822
ZCTA5 10165,
ZCTA5 10167,
ZCTA5 10168,
ZCTA5 10169,
ZCTA5 10170,
ZCTA5 10171,
ZCTA5 10172,
ZCTA5 10173,
ZCTA5 10174,
ZCTA5 10177,
ZCTA5 10199,
ZCTA5 10271,
ZCTA5 10278,
ZCTA5 10279,
ZCTA5 10280,146875
ZCTA5 10282,
ZCTA5 10301,55700
ZCTA5 10302,55864
ZCTA5 10303,55198
ZCTA5 10304,53843
ZCTA5 10305,74063
ZCTA5 10306,78745
ZCTA5 10307,77278
ZCTA5 10308,87493
ZCTA5 10309,93248
ZCTA5 10310,69201
ZCTA5 10311,
ZCTA5 10312,88567
ZCTA5 10314,77761
ZCTA5 10451,26419
ZCTA5 10452,25771
ZCTA5 10453,22914
ZCTA5 10454,21553
ZCTA5 10455,23962
ZCTA5 10456,25868
ZCTA5 10457,25967
ZCTA5 10458,30339
ZCTA5 10459,24805
ZCTA5 10460,24086
ZCTA5 10461,55332
ZCTA5 10462,48315
ZCTA5 10463,56568
ZCTA5 10464,76917
ZCTA5 10465,73068
ZCTA5 10466,44354
ZCTA5 10467,34964
ZCTA5 10468,34988
ZCTA5 10469,57124
ZCTA5 10470,58839
ZCTA5 10471,81594
ZCTA5 10472,29934
ZCTA5 10473,36686
ZCTA5 10474,26901
ZCTA5 10475,46340
ZCTA5 10501,130313
ZCTA5 10502,161734
ZCTA5 10503,
ZCTA5 10504,213688
ZCTA5 10505,118333
ZCTA5 10506,194917
ZCTA5 10507,66106
ZCTA5 10509,94768
ZCTA5 10510,153152
ZCTA5 10511,99479
ZCTA5 10512,90585
ZCTA5 10514,244527
ZCTA5 10516,93750
ZCTA5 10517,100313
ZCTA5 10518,190058
ZCTA5 10519,
ZCTA5 10520,94261
ZCTA5 10522,120631
ZCTA5 10523,90406
ZCTA5 10524,115833
ZCTA5 10526,123571
ZCTA5 10527,144286
ZCTA5 10528,110417
ZCTA5 10530,101553
ZCTA5 10532,97125
ZCTA5 10533,135697
ZCTA5 10535,65147
ZCTA5 10536,161650
ZCTA5 10537,73235
ZCTA5 10538,153750
ZCTA5 10541,109076
ZCTA5 10543,82265
ZCTA5 10545,
ZCTA5 10546,144167
ZCTA5 10547,96833
ZCTA5 10548,78724
ZCTA5 10549,95704
ZCTA5 10550,42002
ZCTA5 10552,68196
ZCTA5 10553,60403
ZCTA5 10560,129306
ZCTA5 10562,73797
ZCTA5 10566,55453
ZCTA5 10567,118482
ZCTA5 10570,124427
ZCTA5 10573,69523
ZCTA5 10576,180000
ZCTA5 10577,193125
ZCTA5 10578,106176
ZCTA5 10579,120162
ZCTA5 10580,168750
ZCTA5 10583,177332
ZCTA5 10588,73233
ZCTA5 10589,94652
ZCTA5 10590,141646
ZCTA5 10591,79988
ZCTA5 10594,133256
ZCTA5 10595,106331
ZCTA5 10596,70714
ZCTA5 10597,222917
ZCTA5 10598,116741
ZCTA5 10601,70701
ZCTA5 10603,94088
ZCTA5 10604,84741
ZCTA5 10605,108065
ZCTA5 10606,75775
ZCTA5 10607,127232
ZCTA5 10701,45049
ZCTA5 10703,60964
ZCTA5 10704,73956
ZCTA5 10705,46013
ZCTA5 10706,119841
ZCTA5 10707,81818
ZCTA5 10708,105738
ZCTA5 10709,100000
ZCTA5 10710,86132
ZCTA5 10801,57103
ZCTA5 10803,150688
ZCTA5 10804,166000
ZCTA5 10805,62556
ZCTA5 10901,93389
ZCTA5 10910,
ZCTA5 10911,
ZCTA5 10913,123787
ZCTA5 10914,126389
ZCTA5 10915,
ZCTA5 10916,107938
ZCTA5 10917,97778
ZCTA5 10918,98314
ZCTA5 10919,98017
ZCTA5 10920,101250
ZCTA5 10921,85182
ZCTA5 10922,99732
ZCTA5 10923,79317
ZCTA5 10924,93947
ZCTA5 10925,77823
ZCTA5 10926,68011
ZCTA5 10927,58750
ZCTA5 10928,79602
ZCTA5 10930,129083
ZCTA5 10931,63438
ZCTA5 10932,
ZCTA5 10933,98086
ZCTA5 10940,56758
ZCTA5 10941,65562
ZCTA5 10950,66959
ZCTA5 10952,55481
ZCTA5 10953,127260
ZCTA5 10954,93816
ZCTA5 10956,121421
ZCTA5 10958,87222
ZCTA5 10960,80742
ZCTA5 10962,94464
ZCTA5 10963,71324
ZCTA5 10964,96979
ZCTA5 10965,98996
ZCTA5 10968,97174
ZCTA5 10969,67292
ZCTA5 10970,84980
ZCTA5 10973,93611
ZCTA5 10974,89107
ZCTA5 10975,
ZCTA5 10976,60972
ZCTA5 10977,56724
ZCTA5 10979,70515
ZCTA5 10980,94159
ZCTA5 10983,110929
ZCTA5 10984,112188
ZCTA5 10985,
ZCTA5 10986,119063
ZCTA5 10987,103795
ZCTA5 10988,74875
ZCTA5 10989,105569
ZCTA5 10990,87775
ZCTA5 10992,94167
ZCTA5 10993,53750
ZCTA5 10994,136250
ZCTA5 10996,107031
ZCTA5 10998,86946
ZCTA5 11001,102306
ZCTA5 11003,91817
ZCTA5 11004,91226
ZCTA5 11005,63368
ZCTA5 11010,98517
ZCTA5 11020,123333
ZCTA5 11021,89556
ZCTA5 11023,104511
ZCTA5 11024,96620
ZCTA5 11030,164159
ZCTA5 11040,111035
ZCTA5 11042,
ZCTA5 11050,112461
ZCTA5 11096,45205
ZCTA5 11101,51964
ZCTA5 11102,56674
ZCTA5 11103,62775
ZCTA5 11104,57155
ZCTA5 11105,62841
ZCTA5 11106,56442
ZCTA5 11109,133070
ZCTA5 11201,109472
ZCTA5 11203,46971
ZCTA5 11204,47135
ZCTA5 11205,47437
ZCTA5 11206,31549
ZCTA5 11207,35849
ZCTA5 11208,37640
ZCTA5 11209,65181
ZCTA5 11210,59520
ZCTA5 11211,59190
ZCTA5 11212,28495
ZCTA5 11213,37556
ZCTA5 11214,52119
ZCTA5 11215,108178
ZCTA5 11216,52239
ZCTA5 11217,94970
ZCTA5 11218,60821
ZCTA5 11219,36573
ZCTA5 11220,40576
ZCTA5 11221,43361
ZCTA5 11222,73391
ZCTA5 11223,44647
ZCTA5 11224,31371
ZCTA5 11225,48597
ZCTA5 11226,45031
ZCTA5 11228,63641
ZCTA5 11229,55187
ZCTA5 11230,43344
ZCTA5 11231,84223
ZCTA5 11232,47785
ZCTA5 11233,35686
ZCTA5 11234,75362
ZCTA5 11235,45578
ZCTA5 11236,60885
ZCTA5 11237,46351
ZCTA5 11238,75757
ZCTA5 11239,24610
ZCTA5 11351,
ZCTA5 11354,43660
ZCTA5 11355,38451
ZCTA5 11356,57849
ZCTA5 11357,74255
ZCTA5 11358,66173
ZCTA5 11359,
ZCTA5 11360,82982
ZCTA5 11361,81846
ZCTA5 11362,82827
ZCTA5 11363,90443
ZCTA5 11364,70408
ZCTA5 11365,62509
ZCTA5 11366,78223
ZCTA5 11367,57310
ZCTA5 11368,45980
ZCTA5 11369,51864
ZCTA5 11370,53293
ZCTA5 11371,
ZCTA5 11372,52792
ZCTA5 11373,45677
ZCTA5 11374,55550
ZCTA5 11375,72982
ZCTA5 11377,51675
ZCTA5 11378,61631
ZCTA5 11379,75320
ZCTA5 11385,60526
ZCTA5 11411,81678
ZCTA5 11412,71995
ZCTA5 11413,80758
ZCTA5 11414,70490
ZCTA5 11415,64055
ZCTA5 11416,59092
ZCTA5 11417,66978
ZCTA5 11418,63079
ZCTA5 11419,62014
ZCTA5 11420,61484
ZCTA5 11421,64544
ZCTA5 11422,85436
ZCTA5 11423,66070
ZCTA5 11424,
ZCTA5 11425,
ZCTA5 11426,77487
ZCTA5 11427,65494
ZCTA5 11428,68675
ZCTA5 11429,77037
ZCTA5 11430,
ZCTA5 11432,52277
ZCTA5 11433,45820
ZCTA5 11434,57454
ZCTA5 11435,55268
ZCTA5 11436,66837
ZCTA5 11451,
ZCTA5 11501,89956
ZCTA5 11507,110400
ZCTA5 11509,141667
ZCTA5 11510,95786
ZCTA5 11514,83750
ZCTA5 11516,100347
ZCTA5 11518,91343
ZCTA5 11520,68945
ZCTA5 11530,144479
ZCTA5 11542,74472
ZCTA5 11545,139485
ZCTA5 11547,116071
ZCTA5 11548,120057
ZCTA5 11549,
ZCTA5 11550,57497
ZCTA5 11552,100326
ZCTA5 11553,67152
ZCTA5 11554,93855
ZCTA5 11556,
ZCTA5 11557,114949
ZCTA5 11558,87176
ZCTA5 11559,114816
ZCTA5 11560,110341
ZCTA5 11561,88249
ZCTA5 11563,81068
ZCTA5 11565,106875
ZCTA5 11566,133333
ZCTA5 11568,170250
ZCTA5 11569,114844
ZCTA5 11570,106574
ZCTA5 11572,103401
ZCTA5 11575,75881
ZCTA5 11576,157057
ZCTA5 11577,120650
ZCTA5 11579,113095
ZCTA5 11580,98922
ZCTA5 11581,95829
ZCTA5 11590,92506
ZCTA5 11596,116143
ZCTA5 11598,130906
ZCTA5 11691,41190
ZCTA5 11692,42333
ZCTA5 11693,53829
ZCTA5 11694,79145
ZCTA5 11697,100909
ZCTA5 11701,76593
ZCTA5 11702,104744
ZCTA5 11703,92817
ZCTA5 11704,81028
ZCTA5 11705,95590
ZCTA5 11706,79928
ZCTA5 11709,100078
ZCTA5 11710,115328
ZCTA5 11713,71101
ZCTA5 11714,99645
ZCTA5 11715,113017
ZCTA5 11716,80068
ZCTA5 11717,69615
ZCTA5 11718,119750
ZCTA5 11719,89375
ZCTA5 11720,94192
ZCTA5 11721,108611
ZCTA5 11722,67222
ZCTA5 11724,189000
ZCTA5 11725,120750
ZCTA5 11726,67259
ZCTA5 11727,77891
ZCTA5 11729,84063
ZCTA5 11730,115981
ZCTA5 11731,106453
ZCTA5 11732,115333
ZCTA5 11733,143438
ZCTA5 11735,96455
ZCTA5 11738,95129
ZCTA5 11739,140000
ZCTA5 11740,107446
ZCTA5 11741,98914
ZCTA5 11742,89000
ZCTA5 11743,117273
ZCTA5 11746,101171
ZCTA5 11747,123167
ZCTA5 11749,86318
ZCTA5 11751,94395
ZCTA5 11752,93179
ZCTA5 11753,149750
ZCTA5 11754,98191
ZCTA5 11755,100955
ZCTA5 11756,105708
ZCTA5 11757,80677
ZCTA5 11758,109123
ZCTA5 11762,121469
ZCTA5 11763,81237
ZCTA5 11764,114722
ZCTA5 11765,171250
ZCTA5 11766,113125
ZCTA5 11767,117679
ZCTA5 11768,119806
ZCTA5 11769,87202
ZCTA5 11770,
ZCTA5 11771,119688
ZCTA5 11772,68955
ZCTA5 11776,94067
ZCTA5 11777,104167
ZCTA5 11778,91545
ZCTA5 11779,86684
ZCTA5 11780,112625
ZCTA5 11782,105872
ZCTA5 11783,112224
ZCTA5 11784,88319
ZCTA5 11786,126129
ZCTA5 11787,115162
ZCTA5 11788,105014
ZCTA5 11789,77068
ZCTA5 11790,123343
ZCTA5 11791,157267
ZCTA5 11792,121153
ZCTA5 11793,117914
ZCTA5 11794,
ZCTA5 11795,112205
ZCTA5 11796,92794
ZCTA5 11797,156467
ZCTA5 11798,71250
ZCTA5 11801,99958
ZCTA5 11803,132371
ZCTA5 11804,105859
ZCTA5 11901,55966
ZCTA5 11930,94167
ZCTA5 11931,
ZCTA5 11932,74375
ZCTA5 11933,64537
ZCTA5 11934,97654
ZCTA5 11935,88373
ZCTA5 11937,90101
ZCTA5 11939,74375
ZCTA5 11940,97679
ZCTA5 11941,103802
ZCTA5 11942,92750
ZCTA5 11944,57096
ZCTA5 11946,76026
ZCTA5 11947,
ZCTA5 11948,102908
ZCTA5 11949,105714
ZCTA5 11950,72993
ZCTA5 11951,64033
ZCTA5 11952,89956
ZCTA5 11953,72252
ZCTA5 11954,77632
ZCTA5 11955,61695
ZCTA5 11956,61250
ZCTA5 11957,73417
ZCTA5 11958,66591
ZCTA5 11959,87750
ZCTA5 11960,68750
ZCTA5 11961,61721
ZCTA5 11962,
ZCTA5 11963,86310
ZCTA5 11964,79878
ZCTA5 11965,117917
ZCTA5 11967,82733
ZCTA5 11968,81740
ZCTA5 11970,
ZCTA5 11971,90313
ZCTA5 11972,106111
ZCTA5 11973,
ZCTA5 11975,68125
ZCTA5 11976,133056
ZCTA5 11977,95000
ZCTA5 11978,82147
ZCTA5 11980,91228
ZCTA5 12007,
ZCTA5 12008,106250
ZCTA5 12009,91250
ZCTA5 12010,45981
ZCTA5 12015,53095
ZCTA5 12017,73690
ZCTA5 12018,82738
ZCTA5 12019,94049
ZCTA5 12020,73387
ZCTA5 12022,50521
ZCTA5 12023,62778
ZCTA5 12024,
ZCTA5 12025,64005
ZCTA5 12027,98688
ZCTA5 12028,74750
ZCTA5 12029,85958
ZCTA5 12031,44167
ZCTA5 12032,46515
ZCTA5 12033,71909
ZCTA5 12035,37734
ZCTA5 12036,53375
ZCTA5 12037,58819
ZCTA5 12040,41518
ZCTA5 12041,57548
ZCTA5 12042,
ZCTA5 12043,49710
ZCTA5 12045,46094
ZCTA5 12046,81304
ZCTA5 12047,52300
ZCTA5 12051,58720
ZCTA5 12052,64250
ZCTA5 12053,81646
ZCTA5 12054,97440
ZCTA5 12056,93456
ZCTA5 12057,53750
ZCTA5 12058,67837
ZCTA5 12059,73750
ZCTA5 12060,67800
ZCTA5 12061,85560
ZCTA5 12062,69107
ZCTA5 12063,99196
ZCTA5 12064,62946
ZCTA5 12065,84228
ZCTA5 12066,60132
ZCTA5 12067,63355
ZCTA5 12068,52860
ZCTA5 12069,
ZCTA5 12070,65080
ZCTA5 12071,53750
ZCTA5 12072,49815
ZCTA5 12074,67361
ZCTA5 12075,61772
ZCTA5 12076,60795
ZCTA5 12077,94138
ZCTA5 12078,39514
ZCTA5 12083,70500
ZCTA5 12084,69866
ZCTA5 12085,45833
ZCTA5 12086,56477
ZCTA5 12087,71771
ZCTA5 12089,64242
ZCTA5 12090,57132
ZCTA5 12092,34000
ZCTA5 12093,49861
ZCTA5 12094,75096
ZCTA5 12095,48964
ZCTA5 12106,71758
ZCTA5 12108,57500
ZCTA5 12110,71961
ZCTA5 12115,83438
ZCTA5 12116,45682
ZCTA5 12117,53548
ZCTA5 12118,67159
ZCTA5 12120,49875
ZCTA5 12121,72083
ZCTA5 12122,40895
ZCTA5 12123,76635
ZCTA5 12124,62214
ZCTA5 12125,52200
ZCTA5 12130,120266
ZCTA5 12131,66250
ZCTA5 12132,63935
ZCTA5 12134,51303
ZCTA5 12136,88750
ZCTA5 12137,54766
ZCTA5 12138,60888
ZCTA5 12139,57292
ZCTA5 12140,89432
ZCTA5 12143,48720
ZCTA5 12144,63427
ZCTA5 12147,69688
ZCTA5 12148,104386
ZCTA5 12149,50893
ZCTA5 12150,64259
ZCTA5 12151,74688
ZCTA5 12153,85306
ZCTA5 12154,65977
ZCTA5 12155,49875
ZCTA5 12156,78958
ZCTA5 12157,54716
ZCTA5 12158,81391
ZCTA5 12159,90337
ZCTA5 12160,54688
ZCTA5 12161,
ZCTA5 12164,65250
ZCTA5 12165,
ZCTA5 12166,39716
ZCTA5 12167,48448
ZCTA5 12168,63542
ZCTA5 12169,52656
ZCTA5 12170,65360
ZCTA5 12172,37375
ZCTA5 12173,70559
ZCTA5 12174,
ZCTA5 12175,52404
ZCTA5 12176,74091
ZCTA5 12177,71193
ZCTA5 12180,50530
ZCTA5 12182,40677
ZCTA5 12183,52014
ZCTA5 12184,78750
ZCTA5 12185,75972
ZCTA5 12186,89210
ZCTA5 12187,41875
ZCTA5 12188,62825
ZCTA5 12189,52733
ZCTA5 12190,45536
ZCTA5 12192,61466
ZCTA5 12193,76343
ZCTA5 12194,41750
ZCTA5 12195,30833
ZCTA5 12196,90882
ZCTA5 12197,41129
ZCTA5 12198,85584
ZCTA5 12202,25748
ZCTA5 12203,52251
ZCTA5 12204,55449
ZCTA5 12205,63911
ZCTA5 12206,29821
ZCTA5 12207,12454
ZCTA5 12208,57420
ZCTA5 12209,52334
ZCTA5 12210,47219
ZCTA5 12211,95072
ZCTA5 12222,
ZCTA5 12302,70438
ZCTA5 12303,62392
ZCTA5 12304,47500
ZCTA5 12305,29643
ZCTA5 12306,61286
ZCTA5 12307,17893
ZCTA5 12308,44482
ZCTA5 12309,93090
ZCTA5 12401,48058
ZCTA5 12404,57292
ZCTA5 12405,46319
ZCTA5 12406,
ZCTA5 12407,52396
ZCTA5 12409,72550
ZCTA5 12410,62813
ZCTA5 12411,81905
ZCTA5 12412,61389
ZCTA5 12413,32661
ZCTA5 12414,41825
ZCTA5 12416,22981
ZCTA5 12417,51400
ZCTA5 12418,71111
ZCTA5 12419,56042
ZCTA5 12420,108542
ZCTA5 12421,55000
ZCTA5 12422,68929
ZCTA5 12423,43792
ZCTA5 12424,61250
ZCTA5 12427,88561
ZCTA5 12428,46045
ZCTA5 12429,88158
ZCTA5 12430,48458
ZCTA5 12431,39182
ZCTA5 12432,59800
ZCTA5 12433,135811
ZCTA5 12434,31667
ZCTA5 12435,
ZCTA5 12436,51250
ZCTA5 12438,125588
ZCTA5 12439,39808
ZCTA5 12440,52214
ZCTA5 12441,83906
ZCTA5 12442,28125
ZCTA5 12443,84125
ZCTA5 12444,39643
ZCTA5 12446,55364
ZCTA5 12448,
ZCTA5 12449,42150
ZCTA5 12450,
ZCTA5 12451,77321
ZCTA5 12452,41176
ZCTA5 12453,34258
ZCTA5 12454,58500
ZCTA5 12455,41200
ZCTA5 12456,45156
ZCTA5 12457,
ZCTA5 12458,43500
ZCTA5 12459,40234
ZCTA5 12460,33000
ZCTA5 12461,64348
ZCTA5 12463,57250
ZCTA5 12464,48889
ZCTA5 12465,56765
ZCTA5 12466,68007
ZCTA5 12468,48942
ZCTA5 12469,47917
ZCTA5 12470,61087
ZCTA5 12471,53871
ZCTA5 12472,54453
ZCTA5 12473,72573
ZCTA5 12474,45335
ZCTA5 12475,
ZCTA5 12477,58871
ZCTA5 12480,55163
ZCTA5 12481,65429
ZCTA5 12482,39531
ZCTA5 12483,
ZCTA5 12484,63881
ZCTA5 12485,54079
ZCTA5 12486,87639
ZCTA5 12487,73299
ZCTA5 12489,75592
ZCTA5 12490,
ZCTA5 12491,71563
ZCTA5 12492,46250
ZCTA5 12493,86164
ZCTA5 12494,66484
ZCTA5 12495,96607
ZCTA5 12496,55556
ZCTA5 12498,72241
ZCTA5 12501,65156
ZCTA5 12502,73438
ZCTA5 12503,62188
ZCTA5 12504,86250
ZCTA5 12507,68194
ZCTA5 12508,68963
ZCTA5 12512,
ZCTA5 12513,62833
ZCTA5 12514,96103
ZCTA5 12515,54531
ZCTA5 12516,62431
ZCTA5 12517,54907
ZCTA5 12518,78896
ZCTA5 12520,89892
ZCTA5 12521,80903
ZCTA5 12522,51530
ZCTA5 12523,70962
ZCTA5 12524,77284
ZCTA5 12525,72308
ZCTA5 12526,70563
ZCTA5 12527,
ZCTA5 12528,67689
ZCTA5 12529,67875
ZCTA5 12530,
ZCTA5 12531,82050
ZCTA5 12533,102592
ZCTA5 12534,45223
ZCTA5 12538,74145
ZCTA5 12540,103454
ZCTA5 12542,69750
ZCTA5 12543,54570
ZCTA5 12545,75224
ZCTA5 12546,58125
ZCTA5 12547,76377
ZCTA5 12548,52708
ZCTA5 12549,83026
ZCTA5 12550,55631
ZCTA5 12553,71951
ZCTA5 12561,67264
ZCTA5 12563,84956
ZCTA5 12564,82119
ZCTA5 12565,38384
ZCTA5 12566,76882
ZCTA5 12567,63333
ZCTA5 12569,75387
ZCTA5 12570,97679
ZCTA5 12571,69720
ZCTA5 12572,73200
ZCTA5 12574,120074
ZCTA5 12575,126813
ZCTA5 12577,109107
ZCTA5 12578,87059
ZCTA5 12580,78750
ZCTA5 12581,73482
ZCTA5 12582,99398
ZCTA5 12583,71786
ZCTA5 12585,113148
ZCTA5 12586,68998
ZCTA5 12589,77686
ZCTA5 12590,81169
ZCTA5 12592,63750
ZCTA5 12594,61875
ZCTA5 12601,40699
ZCTA5 12603,78299
ZCTA5 12604,
ZCTA5 12701,33624
ZCTA5 12719,58229
ZCTA5 12720,80889
ZCTA5 12721,61841
ZCTA5 12722,
ZCTA5 12723,52727
ZCTA5 12724,64375
ZCTA5 12725,50417
ZCTA5 12726,68182
ZCTA5 12729,53092
ZCTA5 12732,39297
ZCTA5 12733,41402
ZCTA5 12734,64125
ZCTA5 12736,31250
ZCTA5 12737,67500
ZCTA5 12738,59226
ZCTA5 12740,65972
ZCTA5 12741,30000
ZCTA5 12742,
ZCTA5 12743,52050
ZCTA5 12745,67125
ZCTA5 12746,87292
ZCTA5 12747,63533
ZCTA5 12748,62083
ZCTA5 12749,48421
ZCTA5 12750,76094
ZCTA5 12751,50323
ZCTA5 12752,39297
ZCTA5 12754,37031
ZCTA5 12758,51923
ZCTA5 12759,26250
ZCTA5 12760,51250
ZCTA5 12762,38194
ZCTA5 12763,62216
ZCTA5 12764,45956
ZCTA5 12765,78250
ZCTA5 12766,54792
ZCTA5 12767,111250
ZCTA5 12768,60402
ZCTA5 12769,73594
ZCTA5 12770,61250
ZCTA5 12771,49497
ZCTA5 12775,98669
ZCTA5 12776,53594
ZCTA5 12777,76786
ZCTA5 12778,
ZCTA5 12779,37597
ZCTA5 12780,37350
ZCTA5 12781,61944
ZCTA5 12783,60658
ZCTA5 12784,
ZCTA5 12785,51250
ZCTA5 12786,47717
ZCTA5 12787,57679
ZCTA5 12788,47404
ZCTA5 12789,51964
ZCTA5 12790,52607
ZCTA5 12791,70163
ZCTA5 12792,36985
ZCTA5 12801,46305
ZCTA5 12803,61906
ZCTA5 12804,65224
ZCTA5 12808,70125
ZCTA5 12809,52971
ZCTA5 12810,70288
ZCTA5 12811,
ZCTA5 12812,63672
